season,episode,title,year,total_votes,avg_rating
1,1,A Walk in the Woods,1983,60,9.2
1,2,Mt. McKinley,1983,48,9.4
1,3,Ebony Sunset,1983,39,9.3
1,4,Winter Mist,1983,33,9.2
1,5,Quiet Stream,1983,31,9.1
1,6,Winter Moon,1983,29,9.5
1,7,Autumn Mountains,1983,26,9.4
1,8,Peaceful Valley,1983,25,9.4
1,9,Seascape,1983,26,9.2
1,10,Mountain Lake,1983,24,9.5
1,11,Winter Glow,1983,23,9.5
1,12,Snow Fall,1983,24,9.5
1,13,Final Reflections,1983,27,9.6
2,1,Meadow Lake,1983,28,9.4
2,2,Winter Sun,1983,23,9.3
2,3,Ebony Sea,1983,23,9.5
2,4,Shades of Grey,1983,26,9.7
2,5,Autumn Splendor,1983,22,9.5
2,6,Black River,1983,24,9.2
2,7,Brown Mountain,1983,23,9.5
2,8,Reflections,1983,25,9.2
2,9,Black and White Seascape,1983,23,9.4
2,10,Lazy River,1983,24,9.4
2,11,Black Waterfall,1983,23,9.5
2,12,Mountain Waterfall,1983,23,9.2
2,13,Final Grace,1983,21,9.4
3,1,Mountain Retreat,1984,25,9.2
3,2,Blue Moon,1984,23,9.2
3,3,Bubbling Stream,1984,22,9.5
3,4,Winter Night,1984,23,9.2
3,5,Distant Hills,1984,20,9.3
3,6,Covered Bridge,1984,22,9.2
3,7,Quiet Inlet,1984,24,9.2
3,8,Night Light,1984,20,9.4
3,9,The Old Mill,1984,20,9.6
3,10,Campfire,1984,25,9.6
3,11,Rustic Barn,1984,18,9.7
3,12,Hidden Lake,1984,18,9.8
3,13,Peaceful Waters,1984,17,9.8
4,1,Purple Splendor,1984,22,9.3
4,2,Tranquil Valley,1984,17,9.8
4,3,Majestic Mountains,1984,20,9.8
4,4,Winter Sawscape,1984,17,9.8
4,5,Evening Seascape,1984,20,9.6
4,6,Warm Summer Day,1984,19,9.6
4,7,Cabin in the Woods,1984,24,9.1
4,8,Wetlands,1984,19,9.8
4,9,Cool Waters,1984,20,9.8
4,10,Quiet Woods,1984,18,9.6
4,11,Autumn Glory,1984,17,9.7
4,12,Autumn Days,1984,22,9.8
4,13,Mountain Challenge,1984,20,9.3
5,1,Mountain Waterfall,1985,25,9.9
5,2,Twilight Meadow,1985,18,9.8
5,3,Mountain Blossoms,1985,16,9.7
5,4,Winter Stillness,1985,16,9.8
5,5,Quiet Pond,1985,16,9.6
5,6,Ocean Sunrise,1985,15,9.7
5,7,Bubbling Brook,1985,16,9.8
5,8,Arizona Splendor,1985,15,9.6
5,9,Anatomy of a Wave,1985,15,9.1
5,10,The Windmill,1985,14,9.6
5,11,Autumn Glory,1985,19,9.9
5,12,Indian Girl,1985,14,9.5
5,13,Meadow Stream,1985,17,9.6
6,1,Blue River,1985,17,9.7
6,2,Nature's Edge,1985,15,9.7
6,3,Morning Mist,1985,15,9.8
6,4,Whispering Stream,1985,15,9.7
6,5,Secluded Forest,1985,18,9.5
